Project	Export	started	ended	Duration (min)	machine
BUS2	V360	02.05.2017 11:14	02.05.2017 12:31	77	PC37156
SUS	RIV	02.05.2017 07:06	02.05.2017 08:44	98	PC37156
SUS	RIV	02.05.2017 03:57	02.05.2017 07:06	189	PC37156
SUS	RIE	02.05.2017 03:31	02.05.2017 03:57	26	PC37156
BUS2	V330-1	02.05.2017 03:24	02.05.2017 03:31	7	PC37156
BUS2	V340	02.05.2017 03:11	02.05.2017 03:24	13	PC37156
BUS2	V330-3	02.05.2017 03:01	02.05.2017 03:11	10	PC37156
BUS2	V360	02.05.2017 01:56	02.05.2017 03:01	65	PC37156
BUS2	V330-3	01.05.2017 17:26	01.05.2017 17:36	10	PC37156
BUS2	V330-1	01.05.2017 17:20	01.05.2017 17:26	6	PC37156
BUS2	V340	01.05.2017 17:05	01.05.2017 17:19	14	PC37156
BUS2	V360	01.05.2017 15:55	01.05.2017 17:05	70	PC37156
BUS2	V290	01.05.2017 15:50	01.05.2017 15:55	5	PC37156
BUS2	V330-3	01.05.2017 15:41	01.05.2017 15:50	9	PC37156
BUS2	V330-1	01.05.2017 15:34	01.05.2017 15:41	7	PC37156
BUS2	V340	01.05.2017 15:20	01.05.2017 15:34	14	PC37156
BUS2	V360	01.05.2017 11:43	01.05.2017 12:50	67	PC37156
SUS	RIE	01.05.2017 02:57	01.05.2017 03:23	26	PC37156
BUS2	V330-3	01.05.2017 02:48	01.05.2017 02:57	9	PC37156
BUS2	V330-1	01.05.2017 02:41	01.05.2017 02:48	7	PC37156
BUS2	V340	01.05.2017 02:28	01.05.2017 02:41	13	PC37156
BUS2	V330-2	01.05.2017 02:17	01.05.2017 02:28	11	PC37156
BUS2	V360	01.05.2017 01:49	01.05.2017 02:17	28	PC37156
BUS2	V290	01.05.2017 01:44	01.05.2017 01:49	5	PC37156
SUS	RIE	30.04.2017 16:59	30.04.2017 17:24	25	PC37156
SUS	RIV	30.04.2017 10:45	30.04.2017 16:59	374	PC37156
BUS2	V330-3	30.04.2017 10:36	30.04.2017 10:45	9	PC37156
BUS2	V330-1	30.04.2017 10:29	30.04.2017 10:36	7	PC37156
BUS2	V330-2	30.04.2017 10:18	30.04.2017 10:29	11	PC37156
BUS2	E400	30.04.2017 06:52	30.04.2017 10:18	206	PC37156
BUS2	V360	30.04.2017 05:32	30.04.2017 06:52	80	PC37156
BUS2	V340	30.04.2017 05:18	30.04.2017 05:32	14	PC37156
BUS2	E400	29.04.2017 12:45	29.04.2017 16:09	204	PC37156
BUS2	V330-1	29.04.2017 12:41	29.04.2017 12:48	7	PC36132
